title,description,type,sellPrice,tags,energy,health
Wood,Wood,resource,1,resource,,
Stone,Stone,resource,2,resource,,
Fiber,Fiber,resource,1,resource,,
Clay,Clay,resource,2,resource,,
Seaweed,Seaweed,resource,5,resource,,
Green Algae,Green Algae,resource,5,resource,,
White Algae,White Algae,resource,10,resource,,
Slime,Slime,loot,1,resource,,
Hardwood,Hardwood,resource,2,resource,,
Coal,Coal,resource,2,"Mines, Farm, Mountain, Forest, forageable, resource",,
Quartz,Quartz,resource,5,"forageable, mineral",,
Earth Crystal,Earth Crystal,resource,25,"forageable, mineral",,
Copper Ore,Copper Ore,resource,5,resource,,
Iron Ore,Iron Ore,resource,10,resource,,
Gold Ore,Gold Ore,resource,25,resource,,
Iridium Ore,Iridium Ore,resource,50,resource,,
Copper Bar,Copper Bar,resource,100,resource,,
Iron Bar,Iron Bar,resource,200,resource,,
Gold Bar,Gold Bar,resource,300,resource,,
Iridium Bar,Iridium Bar,resource,500,resource,,
Refined Quartz,Refined Quartz,resource,5,resource,,
Bat Wing,Bat Wing,loot,15,monster loot,,
Void Essence,Void Essence,loot,25,resource,,
Solar Essence,Solar Essence,loot,25,resource,,
Hay,Hay,resource,1,resource,,
Sap,Sap,resource,2,"oak tree, pine tree, maple tree",,
Mixed Seeds,Mixed Seeds,seed,1,"Farm, Town, Mines, Forest, Secret Woods, Beach, forageable",,
Earth Crystal,A resinous substance found near the surface.,mineral,50,"forageable, Geologist's Bundle, Mayonnaise Machine, Sturdy Ring, Mines (1-39), Duggy (10%) Fishing, Treasure Chest, Panning, Geode, Omni Geode, Garbage Can",,
Quartz,A clear crystal commonly found in caves and mines.,mineral,25,"forageable, Geologist's Bundle, Refined Quartz, Mines, Garbage Can",,
Pine Cone,fastest growing tree,seed,1,"forageable, seed, pine tree",,
Acorn,sometimes becomes flour,seed,1,"forageable, seed, oak tree",,
Maple Seed,slowest growing tree,seed,1,"forageable, seed, maple tree",,
Wild Honey,It's a sweet syrup produced by bees.,artisan goods,100,"inedible, Bee House, spring, summer, fall, Bee House",,
Tulip Honey,It's a sweet syrup produced by bees.,artisan goods,160,"inedible, Bee House, Spring, Bee House",,
Blue Jazz Honey,It's a sweet syrup produced by bees.,artisan goods,200,"inedible, Bee House, Spring, Bee House",,
Sunflower Honey,It's a sweet syrup produced by bees.,artisan goods,260,"inedible, Bee House, summer, fall, Bee House",,
Summer Spangle Honey,It's a sweet syrup produced by bees.,artisan goods,280,"inedible, Bee House, Summer, Bee House",,
Poppy Honey,It's a sweet syrup produced by bees.,artisan goods,380,"inedible, Bee House, fall, Bee House",,
Fairy Rose Honey,It's a sweet syrup produced by bees.,artisan goods,680,"inedible, Bee House, fall, Bee House",,
Wine,Drink in moderation.,artisan goods,3x,"Fruit (1), edible, Keg",50,22
Pale Ale,Drink in moderation.,artisan goods,300,"Hops (1), edible, Keg",50,22
Beer,Drink in moderation.,artisan goods,200,"Wheat (1), edible, Keg",50,22
Mead,A fermented beverage made from honey. Drink in moderation.,artisan goods,200,"Honey (1), edible, Keg",75,33
Cheese,It's your basic cheese.,artisan goods,230,"Milk (1), Large Milk (1), edible",125,56
Goat Cheese,Soft cheese made from goat's milk.,artisan goods,400,"Goat Milk (1), Large Goat Milk (1), edible",125,56
Coffee,It smells delicious. This is sure to give you a boost.,artisan goods,150,"Coffee Bean (5), Speed (+1), 120mins, edible, Keg",3,1
Green Tea,"A pleasant, energizing beverage made from lightly processed tea leaves.",artisan goods,100,"Tea Leaves (1), MaxEnergy (+30), 180mins, edible, Keg",13,5
Juice,"A sweet, nutritious beverage.",artisan goods,2.25x,"Vegetable (1), edible, Keg",,
Basic Fertilizer,"Improves soil quality a little, increasing your chance to grow quality crops. Mix into tilled soil.",crafting,2,"Sap (2), Farming Level 1, Pierre's, 1x1",,
Quality Fertilizer,"Improves soil quality, increasing your chance to grow quality crops. Mix into tilled soil.",crafting,10,"Sap (2), Fish (1), Farming Level 9, Pierre's, 1x1",,
Speed-Gro (5),Stimulates leaf production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil.,crafting,20,"Pine Tar (1), Clam (1), Farming Level 3, Pierre's, 1x1",,
Deluxe Speed-Gro (5),Stimulates leaf production. Guaranteed to increase growth rate by at least 25%. Mix into tilled soil.,crafting,40,"Oak Resin (1), Coral (1), Farming Level 8, Pierre's, Oasis, 1x1",,
Basic Retaining Soil,This soil has a chance of staying watered overnight. Mix into tilled soil.,crafting,4,"Stone (2), Farming Level 4, Pierre's, 1x1",,
Quality Retaining Soil (2),This soil has a good chance of staying watered overnight. Mix into tilled soil.,crafting,5,"Stone (3), Clay (1), Farming Level 7, 1x1",,
Tree Fertilizer,"Sprinkle on a wild tree to ensure rapid growth, even in winter. Doesn't work on fruit trees.",crafting,10,"Fiber (5), Stone (5), Foraging Level 7, 1x1",,
Spring Seeds,"An assortment of wild spring seeds.(The crafted item is called ""Spring Seeds."" The recipe produces 10 seeds per craft.)",Seed,35,"Wild Horseradish (1), Daffodil (1), Leek (1), Dandelion (1), Wild Seeds, Foraging Level 1, Traveling Cart, 1x1",,
Summer Seeds,"An assortment of wild summer seeds.(The crafted item is called ""Summer Seeds."" The recipe produces 10 seeds per craft.)",Seed,55,"Spice Berry (1), Grape (1), Sweet Pea (1), Wild Seeds, Foraging Level 4, Traveling Cart, 1x1",,
Fall Seeds,"An assortment of wild fall seeds.(The crafted item is called ""Fall Seeds."" The recipe produces 10 seeds per craft.)",Seed,45,"Common Mushroom (1), Wild Plum (1), Hazelnut (1), Blackberry (1), Wild Seeds, Foraging Level 6, Traveling Cart, 1x1",,
Winter Seeds,"An assortment of wild winter seeds.(The crafted item is called ""Winter Seeds."" The recipe produces 10 seeds per craft.)",Seed,30,"Winter Root (1), Crystal Fruit (1), Snow Yam (1), Crocus (1), Wild Seeds, Foraging Level 7, Traveling Cart, 1x1",,
Ancient Seeds,Could these still grow?,Seed,0,"Ancient Seed (1), Donating Ancient Seed to museum, 1x1",,
Grass Starter,Place this on your farm to start a new patch of grass.,Seed,0,"Fiber (10), Purchase from Pierre's for 1000, 1x1",,
Tea Sapling,"Takes 20 days to mature. Produces tea leaves during the final week of each season, except winter. No watering necessary!",Seed,500,"Wild Seeds (2), Fiber (5), Wood (5), Mail the day after Caroline's 2-heart event, 1x1",,
Wood Floor,Place on the ground to create paths or to decorate your floors.,Decor,1,"Wood (1), Carpenter's Shop, 500g, 1x1",,
Straw Floor,Place on the ground to create paths or to spruce up your floors.,Decor,1,"Wood (1), Fiber (1), Carpenter's Shop, 1000, 1x1",,
Weathered Floor,Place on the ground to create paths or to spruce up your floors.,Decor,1,"Wood (1), Dwarf (500g), 1x1",,
Crystal Floor,Place on the ground to create paths or to spruce up your floors.,Decor,1,"Refined Quartz (1), Krobus (500g), 1x1",,
Stone Floor,Place on the ground to create paths or to spruce up your floors.,Decor,1,"Stone (1), Carpenter's Shop, 500g, 1x1",,
Brick Floor,Place on the ground to create paths or to decorate your floors.,Decor,1,"Clay (2), Stone (5), Carpenter's Shop, 500g, 1x1",,
Wood Path,Place on the ground to create paths or to spruce up your floors.,Decor,1,"Wood (1), Starter, 1x1",,
Gravel Path,Place on the ground to create paths or to spruce up your floors.,Decor,1,"Stone (1), Starter, , 1x1",,
Cobblestone Path,Place on the ground to create paths or to spruce up your floors.,Decor,1,"Stone (1), Starter, 1x1",,
Stepping Stone Path,Place on the ground to create paths or to spruce up your floors.,Decor,1,"Stone (1), Carpenter's Shop, 500g, 1x1",,
Crystal Path,Place on the ground to create paths or to spruce up your floors.,Decor,1,"Refined Quartz (1), Carpenter's Shop, 1000, 1x1",,
Spinner,The shape makes it spin around in the water. Slightly increases the bite-rate when fishing.,Equipment,250,"tackle, Fishing Level 6, Iron Bar (2)",,
Trap Bobber,Causes fish to escape slower when you aren't reeling them in.,Equipment,200,"tackle, Fishing Level 6, Copper Bar (1), Sap (10)",,
Cork Bobber,"Slightly increases the size of your ""fishing bar"".",Equipment,250,"tackle, Fishing Level 7, Wood (10), Hardwood (5), Slime (10)",,
Treasure Hunter,Fish don't escape while collecting treasures. Also slightly increases the chance to find treasures.,Equipment,250,"tackle, Fishing Level 7, Gold Bar (2)",,
Dressed Spinner,The metal tab and colorful streamers create an enticing spectacle for fish. Increases the bite-rate when fishing.,Equipment,500,"tackle, Fishing Level 8, Iron Bar (2), Cloth (1)",,
Barbed Hook,"Makes your catch more secure, causing the ""fishing bar"" to cling to your catch. Works best on slow, weak fish.",Equipment,500,"tackle, Fishing Level 8, Festival of Ice, Copper Bar (1), Iron Bar (1), Gold Bar (1)",,
Magnet (3),"Increases the chance of finding treasures when fishing. However, fish aren't crazy about the taste.",Equipment,15,"tackle, Fishing Level 9, Festival of Ice, Casino, Iron Bar (1)",,
Bait (5),Causes fish to bite faster. Must first be attached to a fishing rod.,Equipment,1,"tackle, Fishing Level 2, Bug Meat, inedible",,
Wild Bait (5),A unique recipe from Linus that gives you a chance to catch two fish at once.,Equipment,15,"tackle, Linus 4-heart event, Bug Meat (5), Fiber (10), Slime (5), inedible",,
Crab Pot,"Place it in the water, load it with bait, and check the next day to see if you've caught anything. Works in streams, lakes, and the ocean.",Equipment,50,"foraging, machine, Fishing Level 3, 1x1, Iron Bar (3), Copper Bar (2), Willy's, Trapper, Wood 40",,
Sturdy Ring,Cuts the duration of negative status effects in half.,Ring,750,"wearable, Combat Level 1, Copper Bar (2), Bug Meat (25), Slime (25), bad status 50%",,
Warrior Ring,"Occasionally infuses the wearer with ""warrior energy"" after slaying a monster.",Ring,750,"wearable, Combat Level 4, Iron Bar (10), Coal (25), Frozen Tear (10), warrior energy",,
Ring of Yoba,Occasionally shields the wearer from damage.,Ring,750,"wearable, Combat Level 7, Iron Bar (5), Gold Bar (5), Diamond (1), sometimes shield",,
Iridium Band,"Glows, attracts items, and increases attack damage by 10%.",Ring,1000,"wearable, Combat Level 9, Iridium Bar (5), Solar Essence (50), Void Essence (50), glows, magnetic, damage boost 10%",,
Wedding Ring,An old Zuzu City tradition... It's used to ask for another farmer's hand in marriage.,Ring,0,"multiplayer, Traveling Cart for 500g",,
Life Elixir,Restores health to full.,edible,500,"Red Mushroom (1), Purple Mushroom (1), Morel (1), Chanterelle (1), Combat Level 2",200,90
Oil of Garlic,Drink this and weaker monsters will avoid you.,edible,1000,"Garlic (10), Oil (1), Combat Level 6, Oil of Garlic Buff",200,90
Torch,Provides a modest amount of light.,Lighing,5,"Wood (1), Sap (2), Starter",,
Campfire,Provides a moderate amount of light.,Lighing,,"Stone (10), Wood (10), Fiber (10), Starter, 1x1",,
