title,description,type,sellPrice,tags
Barn,Houses 4 barn-dwelling animals.,building,6000,"Wood (350), Stone (150), 7x4"
Big Barn,Houses 8 barn-dwelling animals. Allows animals to give birth. Unlocks goats.,building,12000,"Wood (450), Stone (200), 7x4"
Deluxe Barn,Houses 12 barn-dwelling animals. Comes with an auto-feed system. Unlocks sheep and pigs.,building,25000,"Wood (550), Stone (300), 7x4"
Coop,Houses 4 coop-dwelling animals.,building,4000,"Wood (300), Stone (100), 6x3"
Big Coop,Houses 8 coop-dwelling animals. Comes with an incubator. Unlocks ducks.,building,10000,"Wood (400), Stone (150), 6x3"
Deluxe Coop,Houses 12 coop-dwelling animals. Comes with an auto-feed system. Unlocks rabbits.,building,20000,"Wood (500), Stone (200), 6x3"
Fish Pond,Raise fish and harvest their produce. Fish multiply over time.,building,5000,"Stone (200), Seaweed (5), Green Algae (5), 5x5"
Mill,Allows you to create flour from wheat and sugar from beets.,building,2500,"Stone (50), Wood (150), Cloth (4), 4x2"
Shed,An empty building. Fill it with whatever you like! The interior can be decorated.,building,15000,"Wood (300), 7x3"
Big Shed,Doubles the size of the shed. The interior can be decorated.,building,20000,"Wood (550), Stone (300), 7x3"
Silo,Allows you to cut and store grass for feed.,building,100,"Stone (100), Clay (10), Copper Bar (5), 3x3"
Slime Hutch,Raise up to 20 slimes. Fill water troughs and slimes will create slime balls.,building,10000,"Stone (500), Refined Quartz (10), Iridium Bar (1), Slimes, Slime, 11x6"
Stable,Allows you to adopt and ride a horse.,building,10000,"Horse, Hardwood (100), Iron Bar (5), 4x2"
Well,Provides a place for you to refill your watering can.,building,1000,"Stone (75), 3x3"
Stone Cabin,A home for a friend! Subsidized by the town agricultural fund.,building,100,"Stone (10), 5x3"
Plank Cabin,A home for a friend! Subsidized by the town agricultural fund.,building,100,"Wood (5), Fiber (10), 5x3"
Log Cabin,A home for a friend! Subsidized by the town agricultural fund.,building,100,"Wood (10), 5x3"
Shipping Bin,Throw items inside to sell them overnight.,building,250,"Wood (150), 2x1"
Mayonnaise Machine,Turns eggs into mayonnaise.,equipment,,"Wood (15), Stone (15), Earth Crystal (1), Copper Bar (1), Farming 3, 1x1"
Bee House,Place outside and wait for delicious honey! (Except in Winter).,equipment,,"Wood (40), Coal (8), Iron Bar (1), Maple Syrup (1), Farming 5, 1x1"
Preserves Jar,Turns vegetables into pickles and fruit into jam.,equipment,,"Wood (50), Stone (40), Coal (8), Farming 4, 1x1"
Cheese Press,Turns milk into cheese.,equipment,,"Wood (45), Stone (45), Hardwood (10), Copper Bar (1), Farming 6, 1x1"
Loom,Turns raw wool into fine cloth.,equipment,,"Wood (60), Fiber (30), Pine Tar (1), Farming 7, 1x1"
Keg,Place a fruit or vegetable in here. Eventually it will turn into a beverage.,equipment,,"Wood (30), Copper Bar (1), Iron Bar (1), Oak Resin (1), Farming 8, 1x1"
Oil Maker,Makes gourmet truffle oil.,equipment,,"Slime (50), Hardwood (20), Gold Bar (1), Farming 7, 1x1"
Cask,Use in the cellar to age products like wine and cheese.,equipment,,"Wood (20), Hardwood (1), 1x1"
Junimo Hut,Junimos will harvest crops around the hut for you.,building,20000,"Stone (200), Starfruit (9), Fiber (100), 3x2"
Gold Clock,Fences and paths stop falling apart on the Farm.,building,10000000,"Wizard, 3x2"
Water Obelisk,Warps you to Beach.,building,1000000,"Iridium Bar (5), Clam (10), Coral (10), 3x2"
Earth Obelisk,Warps you to the Mountain.,building,1000000,"Iridium Bar (10), Earth Crystal (10), 3x2"
Desert Obelisk,Warps you to Desert.,building,1000000,"Iridium Bar (20), Coconut (10), Cactus Fruit (10), 3x2"
Copper Hoe,Clint,tool,2000,"Copper Bar (5), 1x3"
Steel Hoe,Clint,tool,5000,"Iron Bar (5), 1x5"
Gold Hoe,Clint,tool,10000,"Gold Bar (5), 3x3"
Iridium Hoe,Clint,tool,25000,"Iridium Bar (5), 3x6"
Copper Axe,Clint,tool,2000,"Copper Bar (5), 12, Pine Tree, Oak Tree, Maple Tree, Palm Tree"
Steel Axe,Clint,tool,5000,"Iron Bar (5), 9, Pine Tree, Oak Tree, Maple Tree, Palm Tree"
Gold Axe,Clint,tool,10000,"Gold Bar (5), 6, Pine Tree, Oak Tree, Maple Tree, Palm Tree"
Iridium Axe,Clint,tool,25000,"Iridium Bar (5), 3, Pine Tree, Oak Tree, Maple Tree, Palm Tree"
Copper Pickaxe,Clint,tool,2000,"Copper Bar (5), 2"
Steel Pickaxe,Clint,tool,5000,"Iron Bar (5), 3"
Gold Pickaxe,Clint,tool,10000,"Gold Bar (5), 4"
Iridium Pickaxe,Clint,tool,25000,"Iridium Bar (5), 5"
Copper Pan,Willy,tool,,"Night Fishing Bundle, Lake Fishing Bundle, Ocean Fishing Bundle, River Fishing Bundle, Exotic Fishing Bundle, Crab Pot Bundle"
Golden Scythe,Quarry,tool,,Quarry Mine
Training Rod,Willy,tool,25,"Fish, Seaweed, Green Algae, Driftwood, Broken CD, Soggy Newspaper"
Bamboo Pole,Willy,tool,500,"Fish, Seaweed, Green Algae, Driftwood, Broken CD, Soggy Newspaper"
Fiberglass Rod,Willy,tool,1800,"Fish, Seaweed, Green Algae, Driftwood, Broken CD, Soggy Newspaper"
Iridium Rod,Willy,tool,7500,"Fish, Seaweed, Green Algae, Driftwood, Broken CD, Soggy Newspaper"
Crab Pot,Willy,equipment,1500,"Mussel, Oyster, Crab, Lobster, Periwinkle, Crawfish, Trash, Driftwood, Broken CD, Iron Bar, Copper Bar, Wood, 1x1"
Milk Pail,Marnie,tool,1000,"Milk, Large Milk, Goat Milk, Lg. Goat Milk"
Shears,Marnie,tool,1000,Wool
Heater,Marnie,equipment,2000,"Barn, Big Barn, Deluxe Barn, Coop, Big Coop, Deluxe Coop, 1x1"
Auto-Grabber,Marnie,equipment,25000,"Milk, Large Milk, Goat Milk, Lg. Goat Milk, White Egg, Brown Egg, Dinosaur Egg, Duck Feather, Wool, Rabbit Foot, 1x1"
