title,description,reward,tags
Introductions,It would be a nice gesture to introduce yourself around town. Some people might be anxious to meet the new farmer.,100 Friendship points (2/5 of a heart) with every known NPC,Introductory quest 28 people greeted
How to Win Friends,Giving gifts is a great way to build friendships. Learn each person's individual tastes and you'll be popular in no time.,100',"Complete ""Introductions"" Give anyone a gift."
Getting Started,If you want to become a farmer you have to start with the basics. Use your hoe to till the soil then use a seed packet on the tilled soil to sow a crop. Water every day until the crop is ready for harvest.,100',Package in room at start Cultivate and harvest a parsnip
To The Beach,Someone named Willy invited you to visit the beach south of town. He says he has something to give you.,Bamboo Pole,Mail Spring 2 Visit the beach south of town before 500pm.
Raising Animals,Robin the local carpenter lives north of town. In exchange for raw materials and money she'll construct new buildings on your farm. You'll need her to build a coop or barn so that you can raise animals.,100',"Complete ""Getting Started"" Build a Coop."
Advancement,As you gain experience you'll discover new crafting recipes to increase profit and make life easier. A Scarecrow for example will prevent crows from snacking on your precious crops.,100',"Complete ""Getting Started"" Reach Farming level 1 and craft a Scarecrow."
Explore The Mine,There's an old mine shaft in the mountains north of town. There could be valuable minerals inside but Marlon hinted that it might be dangerous.,dummy,Enter The Mines. Reach level 5 in The Mines.
Deeper In The Mine,It seems that the mine elevator is still functional. It will allow you to quickly return to any elevator doors you've discovered. A deeper expedition might be in order.,dummy,Reach level 5 in The Mines. Reach level 40 in The Mines.
To The Bottom?,So far there's no sign of the bottom. How low does it go?,dummy,Reach level 40 in The Mines. Reach the bottom of The Mines.
Archaeology,Gunther asked if you'd consider donating any new artifacts or minerals you find to the museum. He says he'll compensate you by way of occasional rare goods.,250',Enter the Museum with a mineral or artifact in inventory Donate an item to the Museum.
Rat Problem,There's something odd going on in the Community Center... Investigate the Community Center,"The following morning a letter from the Wizard arrives in the Mail triggering the ""Meet the Wizard"" quest.",Trigger the initial Community Center cutscene by entering Pelican Town from the Bus Stop between 8am and 1pm on a sunny day (Spring 5+) Enter the Community Center and examine the Golden Scroll in the Crafts Room.
Meet the Wizard,You received a letter from the local wizard. He claims to have information regarding the old community center.,The Wizard gives you a potion that allows you to read the language of the Junimos.,The morning after you examine the first golden scroll in the Community Center you receive a letter from the Wizard saying he has information for you. Enter the wizard's tower.
Forging Ahead,If you're going to keep mining you should build a furnace.,dummy,Morning after collecting a Copper Ore Clint visits and gives you the Furnace blueprints Craft a Furnace
Smelting,Now that you've built a furnace you can smelt some metal. According to Clint's instructions if you place 5 copper ore and 1 piece of coal in the furnace it should produce a copper bar.,dummy,"Complete ""Forging Ahead"" Use your furnace to smelt a copper bar."
Initiation,If you can slay 10 slimes you'll have earned your place in the Adventurer's Guild.,Get to enter the Adventurer's Guild,Mailbox morning after reaching level 5 in The Mines 10 Slimes slain in The Mines (Slimes slain in the Secret Woods do not count towards this quest)
Robin's Lost Axe,Robin lost her favorite axe. The last time she remembers using it she was cutting wood south of Marnie's ranch.,250 & 1 Friendship heart,Mail Spring 11 Find Robin's lost axe. Can be found near the Sewer Pipe in Cindersap Forest.
Jodi's Request,Jodi needs a fresh cauliflower for a recipe she's making. She's asking you to bring her one.,350 & 1 Friendship heart,Mail Spring 19 Bring Jodi a Cauliflower
"Mayor's ""Shorts""","Mayor Lewis has lost his purple ""shorts"". He's asking you to find and return them...Discreetly.",750 & 1 Friendship heart,Mail Summer 3 Find and return Mayor Lewis' purple shorts. Can be found in Marnie's bedroom
Blackberry Basket,It's blackberry season but Linus can't find his basket! He's asking you to help him find it. He has no idea where it is.,1 Friendship heart,Mail Fall 8 Linus's basket Find Linus' basket and return it to him. It's in the Backwoods near the entrance to the tunnel which is to the left of the bus stop.
Marnie's Request,Marnie came by the farm and asked if you'd bring her a cave carrot. She's trying to train her goats to speak and cave carrot is their favorite snack.,100 Friendship points,She visits the farm house after you are at 3 Friendship hearts with her Bring a Cave Carrot into Marnie's shop.
Pam Is Thirsty,Pam is hankerin' for a pale ale. Regular old beer won't do. You can brew one yourself if you have hops and a keg.,350 & 1 Friendship heart,Mail Summer 14 Bring Pam a pale ale
