templateKey,title,description,type,sellPrice,tags,energy,health
blog-post,Triple Shot Espresso,It's more potent than regular coffee! ,cooking,450,"Coffee (3), edible",8,5
blog-post,Green Tea,"A pleasant,  energizing beverage made from lightly processed tea leaves. ",cooking,100,"Tea Leaves, edible",13,5
blog-post,Shrimp Cocktail,A sumptuous appetizer made with freshly-caught shrimp. ,cooking,160,"Shrimp, Tomato, Wild Horseradish, edible",225,101
blog-post,Seafoam Pudding,This briny pudding will really get you into the maritime mindset! ,cooking,300,"Flounder, Midnight Carp, edible",175,78
blog-post,Fried Egg,Sunny-side up. ,cooking,35,"Egg, edible",50,22
blog-post,Omelet,It's super fluffy. ,cooking,125,"Egg, Milk, edible",100,45
blog-post,Salad,A healthy garden salad. ,cooking,110,"Leek, Dandelion, Vinegar, edible",113,50
blog-post,Cheese Cauliflower,It smells great! ,cooking,300,"Cauliflower, Cheese, edible",138,62
blog-post,Baked Fish,Baked fish on a bed of herbs. ,cooking,100,"Sunfish, Bream, Wheat Flour, edible",75,33
blog-post,Parsnip Soup,It's fresh and hearty. ,cooking,120,"Parsnip, Milk, Vinegar, edible",85,38
blog-post,Vegetable Medley,This is very nutritious. ,cooking,120,"Tomato, Beet, edible",165,74
blog-post,Complete Breakfast,You'll feel ready to take on the world! ,cooking,350,"Fried Egg, Milk, Hashbrowns, Pancakes, edible",200,90
blog-post,Fried Calamari,It's so chewy. ,cooking,150,"Squid, Wheat Flour, Oil, edible",80,36
blog-post,Strange Bun,What's inside? ,cooking,225,"Wheat Flour, Periwinkle, Void Mayonnaise, edible",100,45
blog-post,Lucky Lunch,A special little meal. ,cooking,250,"Sea Cucumber, Tortilla, Blue Jazz, edible",100,45
blog-post,Fried Mushroom,Earthy and aromatic. ,cooking,200,"Common Mushroom, Morel, Oil, edible",135,60
blog-post,Pizza,It's popular for all the right reasons. ,cooking,300,"Wheat Flour, Tomato, Cheese, edible",150,67
blog-post,Bean Hotpot,It sure is healthy. ,cooking,100,"Green Bean, edible",125,56
blog-post,Glazed Yams,Sweet and satisfying... The sugar gives it a hint of caramel. ,cooking,200,"Yam, Sugar, edible",200,90
blog-post,Carp Surprise,It's bland and oily. ,cooking,150,"Carp, edible",90,40
blog-post,Hashbrowns,Crispy and golden-brown! ,cooking,120,"Potato, Oil, edible",90,40
blog-post,Pancakes,"A double stack of fluffy,  soft pancakes. ",cooking,80,"Wheat Flour, Egg, edible",90,40
blog-post,Salmon Dinner,The lemon spritz makes it special. ,cooking,300,"Salmon, Amaranth, Kale, edible",125,56
blog-post,Fish Taco,It smells delicious. ,cooking,500,"Tuna, Tortilla, Red Cabbage, Mayonnaise, edible",165,74
blog-post,Crispy Bass,"Wow,  the breading is perfect. ",cooking,150,"Largemouth Bass, Wheat Flour, Oil, edible",90,40
blog-post,Pepper Poppers,Spicy breaded peppers filled with cheese. ,cooking,200,"Hot Pepper, Cheese, edible",130,58
blog-post,Bread,A crusty baguette. ,cooking,60,"Wheat Flour, edible",50,22
blog-post,Tom Kha Soup,These flavors are incredible! ,cooking,250,"Coconut, Shrimp, Common Mushroom, edible",175,78
blog-post,Trout Soup,Pretty salty. ,cooking,100,"Rainbow Trout, Green Algae, edible",100,45
blog-post,Chocolate Cake,Rich and moist with a thick fudge icing. ,cooking,200,"Wheat Flour, Sugar, Egg, edible",150,67
blog-post,Pink Cake,There's little heart candies on top. ,cooking,480,"Melon, Wheat Flour, Sugar, Egg, edible",250,112
blog-post,Rhubarb Pie,"Mmm,  tangy and sweet! ",cooking,400,"Rhubarb, Wheat Flour, Sugar, edible",215,96
blog-post,Cookie,Very chewy. ,cooking,140,"Wheat Flour, Sugar, Egg, edible",90,40
blog-post,Spaghetti,An old favorite. ,cooking,120,"Wheat Flour, Tomato, edible",75,33
blog-post,Fried Eel,Greasy but flavorful. ,cooking,120,"Eel, Oil, edible",75,33
blog-post,Spicy Eel,It's really spicy! Be careful. ,cooking,175,"Eel, Hot Pepper, edible",115,51
blog-post,Sashimi,Raw fish sliced into thin pieces. ,cooking,75,"Fish, edible",75,33
blog-post,Maki Roll,Fish and rice wrapped in seaweed. ,cooking,220,"Fish, Seaweed, Rice, edible",100,45
blog-post,Tortilla,Can be used as a vessel for food or eaten by itself. ,cooking,50,"Corn, edible",50,22
blog-post,Red Plate,Full of antioxidants. ,cooking,400,"Red Cabbage, Radish, edible",240,108
blog-post,Eggplant Parmesan,"Tangy,  cheesy,  and wonderful. ",cooking,200,"Eggplant, Tomato, edible",175,78
