title,description,type,sellPrice,tags
Wood,Wood,resource,1,resource
Stone,Stone,resource,2,resource
Fiber,Fiber,resource,1,resource
Clay,Clay,resource,2,resource
Seaweed,Seaweed,resource,5,resource
Green Algae,Green Algae,resource,5,resource
White Algae,White Algae,resource,10,resource
Slime,Slime,loot,1,resource
Hardwood,Hardwood,resource,2,resource
Coal,Coal,resource,2,"Mines, Farm, Mountain, Forest, forageable, resource"
Quartz,Quartz,resource,5,"forageable, mineral"
Earth Crystal,Earth Crystal,resource,25,"forageable, mineral"
Copper Ore,Copper Ore,resource,5,resource
Iron Ore,Iron Ore,resource,10,resource
Gold Ore,Gold Ore,resource,25,resource
Iridium Ore,Iridium Ore,resource,50,resource
Copper Bar,Copper Bar,resource,100,resource
Iron Bar,Iron Bar,resource,200,resource
Gold Bar,Gold Bar,resource,300,resource
Iridium Bar,Iridium Bar,resource,500,resource
Refined Quartz,Refined Quartz,resource,5,resource
Bat Wing,Bat Wing,loot,15,monster loot
Void Essence,Void Essence,loot,25,resource
Solar Essence,Solar Essence,loot,25,resource
Hay,Hay,resource,1,resource
Sap,Sap,resource,2,"oak tree, pine tree, maple tree"
Mixed Seeds,Mixed Seeds,seed,1,"Farm, Town, Mines, Forest, Secret Woods, Beach, forageable"
Fire Quartz,Fire Quartz,resource,25,"forageable, mineral"
Frozen Tear,Frozen Tear,resource,25,"forageable, mineral"
Pine Cone,fastest growing tree,seed,1,"forageable, seed, pine tree"
Acorn,sometimes becomes flour,seed,1,"forageable, seed, oak tree"
Maple Seed,slowest growing tree,seed,1,"forageable, seed, maple tree"
